SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.2500, 25, -0.00166514, -0.02083753, -1.11228609, 9.01485443, 14.58785152, 11.64237499, -182.81204224, -43.32066727, -19.14644814, -6.04086876, 4.24713898, 136.71537781, 0.36623135, 0.05381483, 0.03529665, -0.92829567, 0.07470243, 0.12646106, 0.12056620, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2600, 26, 0.01130396, -0.04723796, -1.08557832, 11.40914154, 13.26123905, 13.55381393, -181.37971497, -41.68371964, -19.29260445, -5.91763258, 4.39314938, 136.83668518, 0.36522725, 0.05456612, 0.03388481, -0.92869985, 0.06436713, 0.15088518, 0.09384735, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2700, 27, 0.01451478, -0.06277424, -1.05828893, 13.76442242, 11.25855541, 15.15363312, -181.46740723, -42.70681000, -18.62028694, -5.70826626, 4.49915457, 136.98025513, 0.36410648, 0.05471664, 0.03191529, -0.92920077, 0.06339914, 0.16372024, 0.06645340, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2800, 28, 0.02139896, -0.07532947, -1.03791690, 15.44280434, 9.48527431, 16.83245468, -181.46740723, -42.70681000, -18.62028694, -5.54122829, 4.61004782, 137.13897705, 0.36284092, 0.05504183, 0.03028118, -0.92973113, 0.05827530, 0.17269030, 0.04586240, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2900, 29, 0.02734247, -0.08595034, -1.01709163, 16.51681519, 7.99192715, 18.22434235, -180.41508484, -41.62525558, -19.67260933, -5.36189175, 4.70691824, 137.31336975, 0.36146191, 0.05521525, 0.02860039, -0.93031108, 0.05410707, 0.18026544, 0.02488724, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3000, 30, 0.04273033, -0.09326783, -1.00342238, 17.30477715, 6.78559780, 20.14809418, -181.87664795, -42.67757797, -19.26337242, -5.17268324, 4.79297924, 137.50842285, 0.35992557, 0.05527036, 0.02688426, -0.93095434, 0.04028959, 0.18435353, 0.01104635, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3100, 31, 0.06490935, -0.09524132, -1.00270534, 17.71543121, 5.22554827, 22.29318619, -184.82899475, -44.95761490, -18.85413551, -4.97715473, 4.86474323, 137.72662354, 0.35821110, 0.05519052, 0.02517327, -0.93166792, 0.01944754, 0.18296030, 0.01013887, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3200, 32, 0.09123990, -0.09124365, -1.01095045, 17.23205948, 3.76665092, 24.04435158, -181.90586853, -43.84682846, -19.20491028, -4.72466898, 4.92773008, 137.95924377, 0.35641018, 0.05486591, 0.02303309, -0.93243295, -0.00576747, 0.17532918, 0.01816529, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3300, 33, 0.11061215, -0.08685812, -1.01903093, 15.79262638, 2.73177743, 25.91544533, -181.90586853, -43.84682846, -19.20491028, -4.54455328, 4.97588634, 138.21630859, 0.35438129, 0.05464880, 0.02153895, -0.93325436, -0.02419190, 0.16693889, 0.02599621, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3400, 34, 0.10874645, -0.08748343, -1.01159680, 13.99297619, 3.18162012, 27.35039330, -181.84741211, -44.75299454, -19.38029861, -4.38097715, 5.02887964, 138.48754883, 0.35222521, 0.05452633, 0.02017049, -0.93410790, -0.02144935, 0.16462266, 0.01840593, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3500, 35, 0.09779160, -0.08436225, -0.99520928, 12.15640068, 5.15509701, 28.69729805, -181.08740234, -44.63607025, -21.30955887, -4.23440218, 5.10183477, 138.77093506, 0.34995148, 0.05462319, 0.01888458, -0.93498331, -0.00938156, 0.15884626, 0.00191417, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3600, 36, 0.09084890, -0.07991971, -0.98082817, 10.41962814, 7.41233397, 30.03246498, -180.41508484, -45.48377609, -20.22800255, -4.10370827, 5.19758511, 139.06628418, 0.34756145, 0.05495900, 0.01766494, -0.93587852, -0.00092924, 0.15202160, -0.01250719, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3700, 37, 0.09285052, -0.07298335, -0.97161549, 8.70378780, 9.64960480, 31.07026672, -180.38584900, -46.15609360, -18.21105003, -3.94419742, 5.31860161, 139.36759949, 0.34512460, 0.05542009, 0.01613774, -0.93678027, -0.00099020, 0.14278784, -0.02170614, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3800, 38, 0.09599987, -0.06135189, -0.96247238, 6.91936541, 10.68049049, 31.99431229, -180.38584900, -46.15609360, -18.21105003, -3.84561205, 5.44688702, 139.68092346, 0.34255606, 0.05612958, 0.01509564, -0.93769771, -0.00192036, 0.12874489, -0.03080837, 0.00000000, 0.00000000, 0.00000000, 0.00000000
